Time,Frame,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
23-36-52.842,41,0.264,0.043,0.874,48.690,-77.899,-50.329,16,16,-25,0.16,-16.65,-101.66,0.625,-0.111,-0.093,-0.767
23-36-52.850,42,0.267,-0.004,0.842,44.276,-69.834,-44.953,15,16,-25,0.80,-17.42,-102.18,0.622,-0.113,-0.100,-0.769
23-36-52.860,43,0.306,-0.044,0.869,30.415,-55.855,-48.035,14,16,-25,1.37,-18.09,-102.67,0.619,-0.115,-0.107,-0.770
23-36-52.870,44,0.380,-0.038,0.886,18.092,-47.820,-50.992,13,15,-26,1.83,-18.62,-103.16,0.615,-0.117,-0.113,-0.771
23-36-52.880,45,0.344,-0.115,0.848,4.059,-51.164,-47.156,13,15,-26,2.17,-19.09,-103.71,0.611,-0.119,-0.117,-0.773
23-36-52.890,46,0.356,-0.119,0.828,0.836,-50.791,-57.135,13,15,-26,2.38,-19.58,-104.24,0.608,-0.122,-0.121,-0.775
23-36-52.901,47,0.348,-0.080,0.809,-0.959,-48.427,-72.680,12,15,-26,2.61,-20.06,-104.89,0.603,-0.124,-0.124,-0.778
23-36-52.910,48,0.353,-0.025,0.765,-10.821,-48.971,-81.077,11,14,-26,2.88,-20.51,-105.71,0.598,-0.127,-0.127,-0.781
23-36-52.920,49,0.383,-0.057,0.662,-59.886,-50.269,-76.618,10,14,-26,3.03,-20.96,-106.54,0.592,-0.130,-0.130,-0.785
23-36-52.930,50,0.366,-0.181,0.470,-134.259,-46.041,-71.279,9,15,-25,2.64,-21.42,-107.38,0.585,-0.136,-0.128,-0.789
23-36-52.940,51,0.290,-0.004,0.351,-196.090,-25.438,-86.975,8,15,-24,1.50,-21.83,-108.18,0.578,-0.146,-0.121,-0.794
23-36-52.950,52,0.272,0.279,0.249,-180.107,-0.414,-96.932,8,16,-23,-0.10,-22.04,-109.14,0.569,-0.156,-0.110,-0.800
23-36-52.960,53,0.238,0.471,0.070,-104.221,11.285,-75.044,6,16,-22,-1.42,-22.04,-110.16,0.560,-0.164,-0.100,-0.806
23-36-52.970,54,0.148,0.453,-0.073,-15.302,33.697,-24.319,7,16,-21,-2.08,-21.92,-110.84,0.554,-0.167,-0.093,-0.810
23-36-52.980,55,0.017,0.518,-0.062,102.859,70.448,31.890,7,17,-21,-2.01,-21.55,-111.04,0.553,-0.164,-0.092,-0.812
