Time,Frame,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
23-36-54.220,177,0.141,0.855,0.469,63.608,15.069,24.811,22,-33,-49,62.17,-9.19,-97.50,0.594,0.288,-0.432,-0.615
23-36-54.230,178,0.149,0.840,0.544,25.995,22.901,18.025,22,-34,-49,62.70,-9.32,-97.25,0.594,0.291,-0.435,-0.611
23-36-54.240,179,0.133,0.765,0.642,27.139,22.394,15.518,23,-34,-49,62.93,-9.37,-96.96,0.595,0.293,-0.436,-0.608
23-36-54.251,180,0.155,0.659,0.645,-19.012,10.805,10.132,23,-34,-49,63.11,-9.41,-96.70,0.597,0.294,-0.436,-0.606
23-36-54.260,181,0.163,0.671,0.669,-84.933,-1.513,-0.973,23,-33,-49,62.81,-9.45,-96.58,0.598,0.293,-0.434,-0.606
23-36-54.270,182,0.211,0.752,0.793,-132.919,-6.601,-8.933,23,-32,-49,61.87,-9.44,-96.61,0.600,0.288,-0.429,-0.610
23-36-54.280,183,0.208,0.850,0.876,-221.516,-26.495,-16.457,23,-31,-49,60.47,-9.39,-96.73,0.603,0.281,-0.422,-0.616
23-36-54.290,184,0.189,0.991,0.971,-366.246,-52.067,-24.121,22,-28,-49,58.14,-9.39,-97.08,0.607,0.267,-0.410,-0.626
23-36-54.300,185,0.178,1.042,0.908,-562.968,-76.142,-22.986,22,-23,-49,54.32,-9.50,-97.69,0.612,0.244,-0.391,-0.643
23-36-54.310,186,0.135,1.035,0.968,-734.230,-79.897,-12.764,21,-17,-47,48.61,-9.81,-98.44,0.620,0.209,-0.361,-0.665
23-36-54.320,187,0.041,0.911,1.131,-946.058,-60.834,2.046,20,-8,-45,41.03,-10.28,-99.06,0.629,0.163,-0.320,-0.689
23-36-54.330,188,0.001,0.672,1.199,-1258.365,-42.420,10.105,20,-1,-41,31.23,-10.78,-99.38,0.640,0.104,-0.263,-0.715
23-36-54.341,189,0.094,0.174,0.960,-1511.253,-28.012,3.563,21,9,-32,18.29,-11.18,-99.46,0.647,0.029,-0.183,-0.740
23-36-54.350,190,0.236,-0.039,0.627,-1363.091,-41.383,-23.331,20,18,-21,3.25,-11.46,-99.51,0.645,-0.058,-0.086,-0.757
23-36-54.360,191,0.213,0.122,0.553,-828.370,-63.989,-48.269,19,22,-14,-9.60,-11.93,-99.77,0.632,-0.133,-0.003,-0.763
23-36-54.371,192,0.259,-0.019,0.398,-495.541,-60.548,-23.690,19,25,-8,-17.03,-12.67,-100.07,0.619,-0.178,0.043,-0.764
23-36-54.380,193,0.222,-0.265,0.360,-278.220,-38.904,22.750,19,25,-5,-21.74,-13.27,-100.04,0.610,-0.207,0.071,-0.761
23-36-54.390,194,0.182,-0.397,0.522,-111.404,-1.978,41.946,19,26,-4,-24.36,-13.48,-99.66,0.607,-0.223,0.086,-0.758
23-36-54.401,195,0.221,-0.387,0.741,-54.789,31.623,40.243,20,26,-4,-25.50,-13.28,-99.28,0.608,-0.228,0.094,-0.755
23-36-54.410,196,0.222,-0.411,0.905,-13.785,37.454,42.197,20,26,-3,-26.04,-12.81,-99.06,0.609,-0.228,0.100,-0.753
23-36-54.420,197,0.182,-0.488,0.957,-11.109,26.790,46.670,21,26,-3,-26.19,-12.30,-98.81,0.612,-0.226,0.103,-0.751
23-36-54.431,198,0.221,-0.469,0.795,-58.619,6.932,41.223,21,27,-2,-26.44,-11.88,-98.49,0.614,-0.225,0.107,-0.749
23-36-54.441,199,0.197,-0.527,0.717,-95.223,-0.992,38.787,22,27,-1,-27.14,-11.65,-98.15,0.616,-0.227,0.112,-0.746
23-36-54.450,200,0.266,-0.638,0.672,-139.887,2.753,41.598,22,27,0,-28.22,-11.46,-97.79,0.616,-0.232,0.119,-0.743
23-36-54.460,201,0.227,-0.700,0.563,-147.909,3.213,32.470,23,27,0,-29.71,-11.25,-97.44,0.616,-0.239,0.130,-0.739
23-36-54.471,202,0.188,-0.620,0.443,-105.385,13.237,20.656,23,27,2,-31.28,-10.96,-97.17,0.615,-0.247,0.140,-0.736
23-36-54.481,203,0.242,-0.566,0.198,25.160,24.267,7.682,23,27,2,-32.18,-10.74,-97.08,0.614,-0.250,0.147,-0.734
23-36-54.491,204,0.090,-0.551,-0.050,200.863,49.283,-1.009,23,27,1,-31.71,-10.48,-97.17,0.615,-0.246,0.146,-0.735
23-36-54.501,205,0.088,-0.368,0.257,465.959,95.352,-18.697,23,26,-2,-29.32,-10.02,-97.48,0.619,-0.230,0.134,-0.739
23-36-54.511,206,0.095,-0.126,0.662,715.722,130.432,-49.682,23,25,-8,-24.22,-9.22,-98.14,0.626,-0.196,0.106,-0.747
23-36-54.521,207,0.121,0.194,0.795,939.446,128.043,-64.234,22,22,-16,-16.52,-8.17,-99.10,0.633,-0.147,0.063,-0.758
23-36-54.531,208,-0.008,0.791,0.453,1292.158,105.224,-66.973,22,19,-23,-6.59,-7.08,-99.99,0.638,-0.084,0.004,-0.766
23-36-54.541,209,-0.276,1.844,0.595,1812.257,96.829,-65.256,23,9,-34,7.04,-6.05,-100.66,0.639,-0.001,-0.081,-0.765
23-36-54.551,210,0.112,2.430,1.799,1993.662,137.326,-42.674,23,-7,-44,25.54,-4.90,-100.98,0.627,0.108,-0.197,-0.746
23-36-54.561,211,0.093,1.539,1.402,1357.911,153.399,21.407,24,-22,-47,45.11,-3.55,-100.46,0.600,0.223,-0.313,-0.702
23-36-54.570,212,0.101,1.094,0.997,337.509,110.690,65.561,25,-29,-49,56.14,-2.89,-99.10,0.581,0.288,-0.372,-0.664
23-36-54.580,213,0.119,1.047,0.757,239.244,73.356,49.277,25,-31,-49,59.42,-2.85,-97.87,0.580,0.309,-0.388,-0.647
23-36-54.590,214,0.092,0.993,0.683,165.014,58.259,42.750,25,-34,-49,61.67,-2.92,-97.01,0.578,0.323,-0.398,-0.634
23-36-54.600,215,0.076,0.915,0.820,63.761,55.063,35.877,26,-34,-48,63.16,-3.03,-96.30,0.578,0.333,-0.405,-0.625
23-36-54.610,216,0.064,0.954,0.774,-69.458,27.824,19.847,26,-34,-49,63.60,-3.10,-95.68,0.581,0.337,-0.406,-0.620
23-36-54.620,217,0.103,0.981,0.745,-211.192,-10.606,8.580,27,-32,-49,62.63,-3.16,-95.43,0.585,0.332,-0.400,-0.622
23-36-54.630,218,0.048,0.888,0.680,-379.712,-38.004,8.471,26,-30,-49,60.32,-3.30,-95.52,0.592,0.319,-0.389,-0.630
23-36-54.640,219,0.070,0.676,0.620,-543.984,-41.890,22.313,26,-25,-49,56.31,-3.58,-95.79,0.602,0.296,-0.368,-0.644
23-36-54.651,220,0.049,0.442,0.734,-603.352,-31.482,37.647,26,-19,-48,50.79,-4.03,-95.97,0.615,0.263,-0.340,-0.661
23-36-54.660,221,0.059,0.273,0.836,-614.892,-23.889,34.814,26,-14,-47,44.75,-4.51,-95.94,0.630,0.228,-0.307,-0.676
23-36-54.670,222,0.032,0.293,0.848,-676.134,-28.660,11.966,26,-8,-44,38.51,-4.90,-95.87,0.642,0.191,-0.272,-0.691
23-36-54.681,223,0.037,0.367,0.840,-777.961,-25.363,-16.572,26,-3,-42,31.63,-5.18,-95.97,0.652,0.150,-0.231,-0.706
23-36-54.690,224,0.052,0.375,0.918,-814.754,-11.928,-31.986,26,3,-38,23.80,-5.30,-96.25,0.660,0.104,-0.184,-0.721
23-36-54.700,225,0.048,0.293,0.970,-767.764,-4.190,-34.186,26,9,-33,15.74,-5.29,-96.59,0.663,0.057,-0.133,-0.735
23-36-54.710,226,0.094,0.264,0.957,-651.000,-6.883,-34.632,26,13,-28,8.23,-5.26,-96.94,0.663,0.013,-0.084,-0.744
23-36-54.720,227,0.070,0.167,0.996,-512.031,-8.958,-22.625,25,17,-23,1.94,-5.31,-97.28,0.661,-0.024,-0.043,-0.749
23-36-54.730,228,0.058,0.073,1.059,-448.236,-3.738,-8.217,24,19,-21,-3.07,-5.39,-97.48,0.658,-0.053,-0.011,-0.751
23-36-54.740,229,0.073,-0.041,1.067,-436.209,-1.039,0.121,25,21,-17,-7.53,-5.43,-97.55,0.655,-0.079,0.018,-0.752
23-36-54.750,230,0.092,-0.100,1.035,-411.579,-7.412,5.726,25,22,-14,-11.87,-5.45,-97.54,0.651,-0.104,0.047,-0.750
23-36-54.760,231,0.106,-0.233,0.952,-381.177,-14.138,15.928,25,24,-11,-15.96,-5.51,-97.45,0.648,-0.127,0.073,-0.748
23-36-54.770,232,0.109,-0.358,0.932,-335.587,-14.006,23.458,25,25,-7,-19.73,-5.60,-97.24,0.644,-0.149,0.097,-0.744
23-36-54.780,233,0.128,-0.452,0.845,-290.157,-15.755,23.156,26,25,-5,-23.06,-5.64,-96.97,0.641,-0.168,0.118,-0.739
23-36-54.790,234,0.131,-0.464,0.754,-220.040,-20.149,18.728,26,26,-3,-25.90,-5.70,-96.70,0.639,-0.185,0.135,-0.735
23-36-54.800,235,0.151,-0.464,0.679,-142.152,-18.164,18.226,26,26,-1,-28.03,-5.79,-96.44,0.636,-0.198,0.148,-0.731
23-36-54.811,236,0.123,-0.565,0.597,-64.259,-12.709,24.943,26,26,0,-29.38,-5.85,-96.19,0.636,-0.206,0.155,-0.728
23-36-54.821,237,0.111,-0.584,0.504,24.399,-3.118,27.391,26,26,0,-29.94,-5.83,-95.90,0.636,-0.209,0.159,-0.725
23-36-54.831,238,0.095,-0.556,0.308,134.746,9.923,22.282,27,26,-1,-29.60,-5.71,-95.66,0.639,-0.207,0.157,-0.724
23-36-54.843,239,0.076,-0.524,0.379,311.719,38.025,15.182,27,26,-3,-28.04,-5.49,-95.53,0.643,-0.197,0.148,-0.725
23-36-54.851,240,0.092,-0.458,0.375,499.509,66.299,2.040,27,25,-7,-24.70,-5.05,-95.60,0.649,-0.175,0.129,-0.729
23-36-54.861,241,0.016,-0.191,0.561,770.465,82.444,-21.506,27,24,-12,-19.34,-4.42,-95.86,0.655,-0.141,0.099,-0.736
23-36-54.871,242,-0.022,0.396,0.575,1093.608,86.959,-46.016,27,19,-21,-11.23,-3.68,-96.32,0.661,-0.089,0.052,-0.743
23-36-54.881,243,-0.187,1.213,0.737,1540.325,77.666,-56.641,27,13,-29,0.29,-2.88,-96.87,0.663,-0.017,-0.019,-0.748
23-36-54.891,244,-0.037,1.811,1.480,1860.988,77.311,-38.503,26,0,-39,16.25,-2.03,-97.31,0.656,0.080,-0.118,-0.741
23-36-54.902,245,0.073,1.375,1.520,1422.277,73.002,15.888,27,-13,-45,34.47,-1.20,-97.26,0.634,0.188,-0.229,-0.715
23-36-54.911,246,-0.033,0.944,0.855,538.985,48.335,50.013,27,-21,-47,47.41,-0.82,-96.64,0.611,0.262,-0.305,-0.682
23-36-54.921,247,0.045,0.955,0.648,250.208,26.333,31.803,28,-25,-48,52.37,-0.89,-96.00,0.603,0.290,-0.333,-0.665
23-36-54.931,248,0.056,0.915,0.628,184.997,26.620,27.489,28,-27,-48,54.81,-0.98,-95.60,0.599,0.304,-0.346,-0.655
23-36-54.940,249,0.044,0.821,0.754,117.194,35.125,24.943,28,-27,-48,56.57,-1.05,-95.22,0.597,0.313,-0.355,-0.647
23-36-54.950,250,0.045,0.903,0.892,33.490,27.830,12.099,28,-28,-49,57.63,-1.06,-94.80,0.596,0.320,-0.360,-0.642
23-36-54.960,251,0.073,1.024,0.883,-87.615,-1.827,-3.975,28,-28,-49,57.82,-1.01,-94.54,0.597,0.322,-0.360,-0.640
23-36-54.970,252,0.085,1.051,0.813,-250.476,-35.791,-6.033,29,-26,-48,56.75,-1.01,-94.62,0.600,0.317,-0.355,-0.644
23-36-54.980,253,0.091,0.946,0.745,-451.912,-51.674,1.825,28,-23,-48,54.00,-1.18,-94.97,0.606,0.300,-0.341,-0.654
23-36-54.990,254,0.082,0.781,0.785,-607.962,-50.954,14.515,28,-18,-47,49.26,-1.53,-95.35,0.616,0.272,-0.316,-0.668
23-36-55.000,255,0.081,0.492,0.996,-674.220,-38.409,32.041,27,-12,-45,43.11,-1.99,-95.59,0.629,0.235,-0.283,-0.685
23-36-55.010,256,0.036,0.257,1.123,-789.050,-36.424,34.510,27,-5,-43,36.25,-2.50,-95.58,0.643,0.194,-0.244,-0.699
23-36-55.020,257,-0.042,0.223,1.105,-976.359,-42.111,10.076,27,2,-38,28.11,-2.98,-95.51,0.657,0.145,-0.197,-0.714
23-36-55.031,258,-0.042,0.223,1.105,-976.359,-42.111,10.076,27,2,-38,28.11,-2.98,-95.51,0.657,0.145,-0.197,-0.714
23-36-55.031,259,0.003,0.074,0.880,-1107.826,-52.180,-10.484,27,8,-34,18.15,-3.41,-95.61,0.666,0.084,-0.137,-0.728
23-36-55.040,260,0.057,-0.036,0.698,-1023.974,-48.762,-31.722,27,15,-26,7.14,-3.88,-95.86,0.670,0.017,-0.069,-0.739
23-36-55.050,261,0.053,0.004,0.627,-713.546,-52.810,-39.910,26,19,-20,-2.69,-4.36,-96.20,0.666,-0.044,-0.008,-0.744
23-36-55.061,262,0.026,0.000,0.663,-458.873,-41.146,-37.166,26,21,-15,-9.42,-4.92,-96.55,0.660,-0.087,0.033,-0.745
23-36-55.070,263,0.060,-0.145,0.717,-367.975,-11.543,-21.870,25,23,-11,-13.88,-5.35,-96.82,0.654,-0.115,0.060,-0.745
23-36-55.080,264,0.021,-0.223,0.852,-275.248,8.028,-10.117,26,24,-10,-17.43,-5.49,-96.99,0.649,-0.136,0.082,-0.744
23-36-55.090,265,0.033,-0.212,0.961,-209.618,14.506,-9.230,25,25,-8,-20.08,-5.44,-97.11,0.645,-0.150,0.100,-0.743
23-36-55.100,266,0.060,-0.205,0.976,-176.770,12.496,-5.451,26,25,-6,-22.13,-5.34,-97.25,0.641,-0.161,0.114,-0.742
23-36-55.110,267,0.079,-0.279,0.901,-128.515,4.768,8.449,25,26,-5,-23.83,-5.25,-97.33,0.639,-0.170,0.125,-0.740
23-36-55.120,268,0.097,-0.404,0.748,-67.694,-0.324,21.570,25,25,-4,-25.05,-5.17,-97.25,0.637,-0.176,0.133,-0.738
23-36-55.130,269,0.115,-0.474,0.390,43.222,3.064,24.418,26,26,-3,-25.62,-5.07,-97.04,0.638,-0.179,0.137,-0.736
23-36-55.140,270,0.072,-0.458,0.265,249.642,25.930,17.056,26,26,-5,-24.95,-4.93,-96.85,0.640,-0.175,0.134,-0.736
23-36-55.151,271,0.090,-0.243,0.375,521.906,64.608,1.583,26,24,-9,-22.15,-4.58,-96.84,0.645,-0.157,0.118,-0.739
23-36-55.160,272,0.116,0.136,0.563,860.089,84.761,-20.462,26,23,-15,-16.47,-3.95,-97.07,0.651,-0.120,0.085,-0.744
23-36-55.170,273,-0.027,0.741,0.524,1236.889,94.922,-26.662,26,17,-25,-7.41,-3.15,-97.46,0.657,-0.063,0.030,-0.751
23-36-55.181,274,-0.164,1.568,0.917,1718.513,96.559,-18.088,26,8,-33,5.58,-2.21,-97.73,0.658,0.018,-0.049,-0.752
23-36-55.190,275,0.135,1.835,1.822,1900.046,112.223,16.126,27,-5,-42,23.17,-1.22,-97.63,0.647,0.124,-0.158,-0.736
23-36-55.200,276,0.044,1.133,1.450,1198.292,111.036,72.653,28,-19,-46,41.37,-0.39,-96.83,0.622,0.232,-0.266,-0.699
23-36-55.210,277,0.032,0.731,0.955,477.753,62.233,89.880,29,-25,-47,52.24,-0.23,-95.54,0.604,0.295,-0.327,-0.664
23-36-55.221,278,0.047,0.661,0.813,312.170,29.983,67.014,29,-29,-49,56.83,-0.61,-94.58,0.598,0.319,-0.353,-0.645
23-36-55.231,279,0.015,0.626,0.735,187.613,26.319,37.528,29,-31,-49,59.79,-0.99,-94.00,0.594,0.334,-0.370,-0.631
23-36-55.241,280,0.040,0.759,0.872,91.696,23.533,7.165,30,-32,-49,61.53,-1.16,-93.60,0.592,0.344,-0.379,-0.623
23-36-55.251,281,0.017,0.837,0.861,8.880,1.228,-14.853,29,-32,-48,62.35,-1.09,-93.39,0.590,0.349,-0.382,-0.619
23-36-55.261,282,0.014,0.963,0.775,-104.811,-39.242,-25.774,29,-32,-48,62.29,-0.97,-93.51,0.590,0.349,-0.382,-0.620
23-36-55.271,283,-0.017,1.050,0.623,-234.005,-69.611,-34.026,28,-30,-48,61.11,-0.94,-94.01,0.590,0.341,-0.377,-0.627
23-36-55.281,284,0.010,1.049,0.457,-385.273,-83.482,-33.380,28,-28,-49,58.58,-1.00,-94.81,0.593,0.326,-0.365,-0.639
23-36-55.291,285,0.014,1.014,0.516,-503.470,-72.970,-17.824,27,-24,-48,54.58,-1.19,-95.67,0.600,0.301,-0.346,-0.655
23-36-55.301,286,0.005,0.838,0.696,-573.654,-48.460,-1.224,27,-18,-47,49.48,-1.50,-96.31,0.610,0.270,-0.320,-0.673
23-36-55.311,287,0.020,0.689,0.794,-666.934,-37.730,8.677,27,-12,-45,43.63,-1.82,-96.65,0.622,0.236,-0.287,-0.690
23-36-55.320,288,0.054,0.590,0.938,-745.702,-27.133,5.442,26,-5,-43,36.87,-2.16,-96.84,0.634,0.197,-0.248,-0.706
23-36-55.330,289,-0.016,0.493,1.050,-847.596,-14.891,2.602,26,0,-40,29.29,-2.40,-96.93,0.645,0.152,-0.203,-0.721
23-36-55.340,290,0.025,0.285,1.045,-909.084,-13.946,4.228,26,6,-35,20.71,-2.54,-96.97,0.655,0.103,-0.149,-0.734
23-36-55.350,291,0.051,0.097,1.012,-851.659,-21.404,3.026,26,12,-29,11.67,-2.69,-96.97,0.661,0.050,-0.092,-0.743
23-36-55.360,292,0.084,-0.021,0.870,-705.482,-38.047,-4.289,26,16,-24,3.34,-2.93,-96.98,0.663,0.000,-0.039,-0.748
23-36-55.370,293,0.068,-0.114,0.815,-554.777,-38.983,-7.319,26,20,-19,-3.51,-3.32,-97.03,0.661,-0.042,0.004,-0.749
23-36-55.380,294,0.090,-0.228,0.744,-445.063,-27.827,-4.719,26,22,-16,-8.93,-3.70,-97.06,0.658,-0.076,0.037,-0.748
23-36-55.390,295,0.082,-0.314,0.701,-318.649,-20.943,-1.421,26,23,-13,-13.21,-3.97,-97.05,0.655,-0.102,0.063,-0.746
23-36-55.401,296,0.078,-0.357,0.721,-217.669,-8.651,0.126,26,23,-10,-16.27,-4.16,-97.01,0.652,-0.121,0.082,-0.744
23-36-55.410,297,0.070,-0.396,0.729,-131.076,1.164,-0.671,26,24,-9,-18.35,-4.23,-96.99,0.649,-0.133,0.095,-0.743
23-36-55.420,298,0.062,-0.404,0.721,-37.431,7.679,-2.805,26,24,-8,-19.54,-4.21,-97.00,0.648,-0.139,0.103,-0.742
23-36-55.430,299,0.046,-0.399,0.466,71.923,12.443,-6.935,26,25,-9,-19.79,-4.15,-97.06,0.647,-0.140,0.105,-0.742
23-36-55.440,300,0.023,-0.281,0.314,284.417,28.186,-16.306,26,24,-10,-18.81,-4.04,-97.18,0.648,-0.134,0.099,-0.743
23-36-55.450,301,0.029,-0.034,0.235,584.436,55.070,-29.840,25,22,-14,-15.60,-3.79,-97.45,0.650,-0.114,0.080,-0.747
23-36-55.460,302,-0.014,0.483,0.288,1006.449,79.285,-40.508,26,19,-21,-9.21,-3.29,-97.88,0.653,-0.074,0.042,-0.753
23-36-55.470,303,-0.136,1.287,0.465,1509.081,104.381,-32.276,26,10,-32,1.51,-2.50,-98.33,0.654,-0.008,-0.024,-0.756
23-36-55.481,304,-0.142,1.895,1.369,1861.623,129.773,1.320,26,0,-39,17.18,-1.40,-98.44,0.647,0.088,-0.121,-0.747
23-36-55.490,305,0.035,1.398,1.804,1382.688,147.183,53.813,27,-14,-45,35.36,-0.24,-97.78,0.627,0.198,-0.230,-0.717
23-36-55.500,306,-0.052,0.881,1.267,527.780,98.837,69.443,28,-21,-47,47.91,0.44,-96.41,0.608,0.273,-0.300,-0.682
23-36-55.511,307,0.060,0.907,0.727,285.250,24.464,39.441,29,-24,-47,52.88,0.50,-95.32,0.602,0.303,-0.326,-0.663
23-36-55.521,308,0.064,0.903,0.581,220.149,6.886,27.788,29,-28,-48,55.67,0.32,-94.93,0.597,0.317,-0.342,-0.652
23-36-55.531,309,0.044,0.821,0.774,129.778,28.308,23.861,29,-29,-48,57.76,0.14,-94.69,0.593,0.328,-0.354,-0.644
23-36-55.541,310,0.049,0.942,0.959,42.977,31.681,11.744,30,-29,-48,58.95,0.11,-94.32,0.592,0.335,-0.360,-0.639
23-36-55.551,311,0.064,0.946,0.864,-66.761,-1.666,2.174,30,-29,-48,59.25,0.16,-94.04,0.592,0.338,-0.361,-0.636
23-36-55.561,312,0.006,0.955,0.846,-174.414,-34.452,3.437,29,-28,-48,58.45,0.11,-94.08,0.594,0.333,-0.357,-0.639
23-36-55.571,313,0.056,0.942,0.719,-309.405,-55.939,2.578,29,-25,-48,56.53,-0.12,-94.38,0.599,0.321,-0.348,-0.646
23-36-55.581,314,0.052,0.860,0.715,-434.413,-65.961,1.547,28,-23,-48,53.29,-0.47,-94.84,0.606,0.301,-0.333,-0.657
23-36-55.592,315,0.050,0.610,0.754,-559.409,-62.032,17.157,28,-18,-47,48.79,-0.91,-95.33,0.616,0.273,-0.310,-0.671
23-36-55.601,316,0.037,0.414,0.911,-633.594,-50.429,22.189,27,-12,-45,43.10,-1.46,-95.63,0.628,0.238,-0.280,-0.686
23-36-55.610,317,-0.013,0.360,1.113,-727.055,-42.116,10.857,27,-6,-43,36.67,-1.97,-95.79,0.640,0.199,-0.244,-0.701
23-36-55.620,318,0.102,0.264,1.043,-899.131,-42.479,-5.174,27,1,-39,29.20,-2.37,-95.95,0.652,0.154,-0.201,-0.715
23-36-55.630,319,-0.012,0.102,0.986,-1014.284,-40.592,-23.633,27,7,-34,20.05,-2.72,-96.19,0.661,0.099,-0.145,-0.730
23-36-55.640,320,0.014,-0.012,0.789,-985.799,-40.795,-41.767,27,13,-28,9.91,-3.04,-96.55,0.665,0.038,-0.082,-0.742
23-36-55.651,321,0.034,0.090,0.636,-728.527,-49.954,-62.389,26,18,-22,0.39,-3.43,-97.03,0.662,-0.020,-0.022,-0.749
23-36-55.660,322,0.007,0.157,0.633,-436.147,-40.386,-57.939,26,20,-18,-6.46,-3.95,-97.63,0.656,-0.063,0.020,-0.752
23-36-55.670,323,0.030,0.062,0.746,-260.276,-10.953,-29.060,25,22,-15,-10.55,-4.39,-98.11,0.649,-0.089,0.044,-0.754
23-36-55.680,324,0.006,-0.070,0.868,-153.039,14.134,-4.806,25,23,-13,-13.01,-4.52,-98.35,0.646,-0.104,0.060,-0.754
23-36-55.690,325,0.022,-0.087,0.978,-59.049,22.462,4.259,25,23,-13,-14.41,-4.38,-98.42,0.644,-0.111,0.070,-0.754
23-36-55.700,326,0.057,-0.130,0.977,-4.702,22.984,9.904,25,23,-13,-14.93,-4.15,-98.43,0.644,-0.112,0.075,-0.753
23-36-55.710,327,0.068,-0.189,0.913,39.829,21.549,17.739,25,23,-12,-14.93,-3.90,-98.38,0.644,-0.110,0.076,-0.753
23-36-55.720,328,0.071,-0.232,0.796,114.379,23.468,24.391,25,23,-13,-14.45,-3.64,-98.25,0.646,-0.106,0.074,-0.752
23-36-55.730,329,0.085,-0.310,0.540,243.245,31.588,26.897,26,22,-15,-13.17,-3.34,-98.07,0.648,-0.097,0.068,-0.752
23-36-55.740,330,0.098,-0.165,0.308,522.071,45.196,19.088,26,20,-18,-10.45,-2.97,-97.88,0.652,-0.079,0.052,-0.752
23-36-55.750,331,0.047,0.341,0.247,984.120,65.513,-1.741,26,17,-24,-4.66,-2.47,-97.78,0.656,-0.043,0.016,-0.753
23-36-55.760,332,-0.161,1.079,0.591,1502.044,96.741,-4.137,27,9,-34,5.84,-1.78,-97.80,0.657,0.022,-0.049,-0.752
23-36-55.770,333,0.004,1.564,1.624,1736.033,138.167,14.174,27,-5,-43,21.31,-0.78,-97.58,0.648,0.117,-0.143,-0.738
23-36-55.780,334,0.064,1.218,1.807,1176.623,134.996,46.794,29,-14,-46,38.06,0.33,-96.73,0.627,0.219,-0.242,-0.707
23-36-55.790,335,0.017,0.793,1.207,473.346,61.851,60.625,29,-21,-47,48.79,0.91,-95.51,0.610,0.283,-0.301,-0.676
23-36-55.800,336,0.047,0.680,0.809,281.389,-5.904,47.275,30,-24,-47,53.29,0.77,-94.74,0.603,0.308,-0.326,-0.660
23-36-55.811,337,0.019,0.665,0.625,203.142,-13.597,27.341,29,-26,-48,56.01,0.37,-94.54,0.598,0.321,-0.343,-0.650
23-36-55.820,338,-0.015,0.768,0.630,133.009,-1.800,4.598,29,-29,-48,57.95,0.10,-94.51,0.593,0.329,-0.355,-0.643
23-36-55.830,339,-0.015,0.822,0.654,70.834,-1.257,-8.646,29,-30,-48,59.21,0.07,-94.51,0.590,0.336,-0.362,-0.639
23-36-55.843,340,-0.042,0.882,0.678,10.073,-14.224,-14.236,29,-30,-48,59.84,0.13,-94.58,0.587,0.339,-0.366,-0.637
23-36-55.850,341,-0.018,0.959,0.654,-77.191,-30.911,-20.291,29,-30,-48,59.84,0.18,-94.80,0.586,0.339,-0.366,-0.639
23-36-55.860,342,-0.029,0.983,0.682,-184.499,-47.051,-23.009,28,-29,-48,58.93,0.19,-95.19,0.586,0.333,-0.362,-0.643
23-36-55.870,343,-0.048,1.015,0.765,-304.870,-59.661,-21.340,27,-26,-48,56.94,0.12,-95.73,0.589,0.321,-0.353,-0.652
23-36-55.880,344,0.026,1.041,0.786,-452.899,-69.018,-20.323,27,-23,-47,53.71,-0.05,-96.35,0.595,0.301,-0.337,-0.665
23-36-55.890,345,0.022,1.005,0.814,-602.043,-69.085,-19.249,27,-17,-47,49.00,-0.32,-97.02,0.604,0.273,-0.312,-0.681
23-36-55.901,346,0.029,0.860,0.880,-732.001,-60.307,-4.566,26,-11,-45,42.81,-0.67,-97.63,0.615,0.236,-0.278,-0.699
23-36-55.910,347,0.066,0.601,0.950,-824.573,-47.583,11.393,26,-5,-42,35.38,-1.11,-98.02,0.627,0.192,-0.235,-0.717
23-36-55.920,348,0.029,0.348,1.005,-871.832,-35.802,15.913,26,3,-37,27.05,-1.57,-98.15,0.639,0.143,-0.185,-0.732
23-36-55.931,349,0.012,0.121,0.986,-827.373,-33.686,9.856,26,7,-33,18.39,-1.95,-98.15,0.649,0.092,-0.132,-0.744
23-36-55.940,350,0.069,-0.005,0.812,-722.510,-45.662,-4.556,26,12,-28,10.23,-2.31,-98.16,0.654,0.043,-0.080,-0.751
23-36-55.951,351,0.091,-0.079,0.618,-567.879,-58.437,-11.861,25,16,-24,3.19,-2.78,-98.27,0.654,-0.000,-0.037,-0.755
23-36-55.960,352,0.083,-0.134,0.615,-390.884,-36.378,-12.840,25,18,-21,-2.25,-3.33,-98.39,0.653,-0.035,-0.004,-0.757
23-36-55.970,353,0.075,-0.173,0.721,-255.045,-11.801,-6.167,25,20,-18,-5.97,-3.67,-98.49,0.650,-0.058,0.019,-0.757
23-36-55.981,354,0.063,-0.224,0.827,-161.328,5.500,0.203,25,21,-17,-8.40,-3.77,-98.53,0.649,-0.073,0.034,-0.757
23-36-55.991,355,0.063,-0.263,0.878,-99.223,11.857,4.144,25,22,-16,-9.93,-3.71,-98.53,0.648,-0.081,0.045,-0.756
23-36-56.001,356,0.056,-0.232,0.886,-62.776,14.360,2.971,25,22,-16,-10.88,-3.58,-98.51,0.647,-0.085,0.051,-0.756
23-36-56.011,357,0.044,-0.181,0.918,-17.024,17.241,1.199,25,22,-15,-11.45,-3.43,-98.52,0.647,-0.088,0.056,-0.755
23-36-56.021,358,0.025,-0.208,0.808,32.659,18.827,3.105,25,22,-15,-11.57,-3.26,-98.53,0.647,-0.087,0.058,-0.755
23-36-56.031,359,0.025,-0.208,0.808,32.659,18.827,3.105,25,22,-15,-11.57,-3.26,-98.53,0.647,-0.087,0.058,-0.755
