Time,Frame Counter,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
17-37-20.337,64,,,,0.000,0.000,0.000,10,-20,-32,55.690,2.760,12.400,,,,
17-37-20.348,65,,,,0.000,0.000,0.000,10,-20,-32,55.690,2.760,12.400,,,,
17-37-20.357,66,,,,0.000,0.000,0.000,10,-20,-32,55.690,2.770,12.400,,,,
17-37-20.367,67,,,,0.000,0.000,0.000,10,-20,-32,55.690,2.770,12.400,,,,
17-37-20.377,68,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.770,12.400,,,,
17-37-20.387,69,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.770,12.400,,,,
17-37-20.398,70,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.770,12.400,,,,
17-37-20.407,71,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.770,12.400,,,,
17-37-20.417,72,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.770,12.400,,,,
17-37-20.428,73,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.770,12.400,,,,
17-37-20.437,74,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.770,12.400,,,,
17-37-20.448,75,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.770,12.400,,,,
17-37-20.457,76,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.770,12.400,,,,
17-37-20.467,77,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.770,12.400,,,,
17-37-20.477,78,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.770,12.400,,,,
17-37-20.487,79,,,,0.000,0.000,0.000,10,-20,-32,55.700,2.770,12.400,,,,
17-37-20.498,80,,,,0.000,0.000,0.000,9,-20,-32,55.700,2.770,12.400,,,,
17-37-20.507,81,,,,0.000,-0.100,0.000,9,-20,-32,55.700,2.770,12.400,,,,
17-37-20.517,82,,,,0.000,-0.100,0.000,9,-20,-32,55.700,2.770,12.400,,,,
17-37-20.527,83,,,,0.000,-0.100,0.000,10,-20,-33,55.700,2.770,12.400,,,,
17-37-20.537,84,,,,0.000,-0.100,0.000,9,-20,-32,55.700,2.770,12.400,,,,
17-37-20.548,85,,,,0.000,0.000,0.000,9,-20,-32,55.700,2.770,12.400,,,,
17-37-20.557,86,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-20.567,87,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-20.577,88,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-20.587,89,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-20.598,90,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-20.607,91,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-20.617,92,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-20.627,93,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-20.637,94,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-20.648,95,,,,0.000,0.000,0.000,9,-20,-32,55.700,2.760,12.400,,,,
17-37-20.657,96,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-20.667,97,,,,0.000,0.000,0.000,9,-20,-32,55.690,2.760,12.400,,,,
17-37-20.677,98,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.760,12.400,,,,
17-37-20.687,99,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-20.697,100,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-20.707,101,,,,0.000,0.000,0.000,9,-20,-32,55.690,2.760,12.400,,,,
17-37-20.717,102,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-20.727,103,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-20.737,104,,,,0.000,0.000,0.000,10,-20,-32,55.700,2.760,12.400,,,,
17-37-20.747,105,,,,0.000,0.000,0.000,9,-20,-32,55.700,2.760,12.400,,,,
17-37-20.757,106,,,,0.000,-0.100,0.000,10,-20,-32,55.700,2.760,12.400,,,,
17-37-20.767,107,,,,0.000,-0.100,0.000,10,-20,-32,55.690,2.760,12.400,,,,
17-37-20.777,108,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.750,12.400,,,,
17-37-20.787,109,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.750,12.400,,,,
17-37-20.797,110,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.750,12.400,,,,
17-37-20.807,111,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-20.817,112,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-20.827,113,,,,0.000,0.000,0.000,9,-20,-32,55.690,2.750,12.400,,,,
17-37-20.837,114,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-20.848,115,,,,0.000,-0.100,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-20.857,116,,,,0.000,-0.100,0.000,9,-20,-32,55.690,2.750,12.400,,,,
17-37-20.867,117,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-20.877,118,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-20.887,119,,,,0.000,0.000,0.000,9,-20,-32,55.690,2.750,12.400,,,,
17-37-20.898,120,,,,0.000,0.000,0.000,9,-21,-33,55.690,2.750,12.400,,,,
17-37-20.907,121,,,,0.000,0.000,0.000,9,-20,-32,55.690,2.750,12.400,,,,
17-37-20.918,122,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-20.927,123,,,,0.000,0.000,0.000,10,-20,-32,55.690,2.750,12.400,,,,
17-37-20.937,124,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.750,12.400,,,,
